NORAD_CAT_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,CREATION_DATE,OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,LAUNCH_YEAR,LAUNCH_SEQ,EPOCH_FINAL,ORBIT_CLASS,EVENT,DURATION,RCS_SIZE
22,0 EXPLORER 7,1 00022U 59009A   25193.56195783  .00008495  00000-0  36645-3 0  9994,2 00022  50.2737 327.5589 0091008 204.6686 154.9905 15.19629843748548,12/07/2025 17:51,EXPLORER 7,1959-009A,12/07/2025 13:29,15.19629843,0.0091008,50.2737,327.5589,204.6686,154.9905,74854,0.00036645,8.5e-05,0.0,6885.095,94.76,569.62,444.301,PAYLOAD,US,13/10/1959,AFETR,,1959,9,13/07/2025 02:58,LEO,0,24015,MEDIUM
23,0 JUNO II R/B,1 00023U 59009  B 89195.78596028  .02731772 +19637-1 +30065-2 0  9997,2 00023 050.2674 226.9734 0018343 032.5712 327.5638 16.13561323580506,17/08/2004 14:36,JUNO II R/B,1959-009B,14/07/1989 18:51,16.13561323,0.0018343,50.2674,226.9734,32.5712,327.5638,58050,0.0030065,0.02731772,0.019637,6615.232,89.243,249.232,224.963,ROCKET BODY,US,13/10/1959,AFETR,16/07/1989,1959,9,15/07/1989 13:43,LEO,1,10869,LARGE
24,0 DISCOVERER 7,1 00024U 59010  A 59324.76896999  .03159051 +00000-0 +00000-0 0  9991,2 00024 081.6399 044.7879 0281000 119.5599 241.8752 15.73099002002000,15/08/2004 23:35,DISCOVERER 7,1959-010A,20/11/1959 18:27,15.73099002,0.0281,81.6399,44.7879,119.5599,241.8752,200,0.0,0.03159051,0.0,6728.187,91.539,539.114,160.99,PAYLOAD,DEN,13/01/1959,AFWTR,26/11/1959,1959,10,21/11/1959 12:54,LEO,1,317,MEDIUM
25,0 DISCOVERER 8,1 00025U 59011  A 60067.96672797  .09310919 +00000-0 +00000-0 0  9997,2 00025 080.6499 290.2565 0094843 170.3363 189.7568 16.35855842015945,15/08/2004 23:35,DISCOVERER 8,1959-011A,07/03/1960 23:12,16.35855842,0.0094843,80.6499,290.2565,170.3363,189.7568,1594,0.0,0.09310919,0.0,6554.99,88.027,239.025,114.686,PAYLOAD,DEN,15/01/1959,AFWTR,08/03/1960,1959,11,08/03/1960 22:24,LEO,1,418,MEDIUM
26,0 DISCOVERER 5 CAPSULE,1 00026U 59005  B 61041.29007435  .03920686 +00000-0 +00000-0 0  9993,2 00026 078.9399 321.1425 0103758 073.2921 287.2863 16.22923515052909,15/08/2004 23:35,DISCOVERER 5 CAPSULE,1959-005B,10/02/1961 06:57,16.22923515,0.0103758,78.9399,321.1425,73.2921,287.2863,5290,0.0,0.03920686,0.0,6589.767,88.728,280.006,143.258,PAYLOAD,DEN,09/01/1959,AFWTR,11/02/1961,1959,5,10/02/1961 13:55,LEO,1,764,MEDIUM
28,0 THOR ABLE R/B,1 00028U 60002  A 91183.48209206  .20810904 +57222-4 +14739-2 0  9993,2 00028 048.3426 203.3369 0003628 333.1829 026.9220 16.40114415676819,17/08/2004 14:45,THOR ABLE R/B,1960-002A,02/07/1991 11:34,16.40114415,0.0003628,48.3426,203.3369,333.1829,26.922,67681,0.0014739,0.20810904,5.72e-05,6543.639,87.798,167.878,163.13,ROCKET BODY,US,01/04/1960,AFETR,03/07/1991,1960,2,02/07/1991 23:08,LEO,1,11415,LARGE
29,0 TIROS 1,1 00029U 60002B   25193.38689031  .00000232  00000-0  60849-4 0  9995,2 00029  48.3768 198.6766 0022978 246.3726 113.4774 14.78052031491855,12/07/2025 17:51,TIROS 1,1960-002B,12/07/2025 09:17,14.78052031,0.0022978,48.3768,198.6766,246.3726,113.4774,49185,6.08e-05,2.32e-06,0.0,7013.617,97.426,651.598,619.366,PAYLOAD,US,01/04/1960,AFETR,,1960,2,12/07/2025 18:34,LEO,0,23844,MEDIUM
30,0 THOR ABLESTAR R/B,1 00030U 60003  A 61228.60062239  .02125614 +00000-0 +00000-0 0  9990,2 00030 051.2500 356.4892 0000000 331.9473 028.0526 16.29358349075909,15/08/2004 23:35,THOR ABLESTAR R/B,1960-003A,16/08/1961 14:24,16.29358349,0.0,51.25,356.4892,331.9473,28.0526,7590,0.0,0.02125614,0.0,6572.405,88.378,194.27,194.27,ROCKET BODY,US,03/01/1960,AFWTR,18/08/1961,1960,3,17/08/1961 04:49,LEO,1,593,LARGE
31,0 TRANSIT 1B,1 00031U 60003  B 67275.67017494  .01669365 +00000-0 +00000-0 0  9994,2 00031 051.2007 317.7772 0014942 349.5805 010.4801 16.23394966418285,15/08/2004 23:35,TRANSIT 1B,1960-003B,02/10/1967 16:05,16.23394966,0.0014942,51.2007,317.7772,349.5805,10.4801,41828,0.0,0.01669365,0.0,6588.491,88.702,220.201,200.511,PAYLOAD,US,05/01/1960,AFWTR,05/10/1967,1960,3,03/10/1967 08:10,LEO,1,2830,MEDIUM
32,0 DISCOVERER 11,1 00032U 60004  A 60115.70328308  .04582881 +00000-0 +00000-0 0  9995,2 00032 080.0999 205.8192 0176930 121.6216 239.2608 16.05408684001401,15/08/2004 23:35,DISCOVERER 11,1960-004A,24/04/1960 16:52,16.05408684,0.017693,80.0999,205.8192,121.6216,239.2608,140,0.0,0.04582881,0.0,6637.609,89.696,376.913,142.035,PAYLOAD,DEN,09/01/1960,AFWTR,26/04/1960,1960,4,25/04/1960 09:45,LEO,1,108,MEDIUM
33,0 THOR ABLESTAR DEB,1 00033U 60003  C 60280.33271408  .00001932 +00000-0 +00000-0 0  9994,2 00033 051.2879 136.0668 0242757 196.7800 163.6100 15.38343354027003,15/08/2004 23:35,THOR ABLESTAR DEB,1960-003C,06/10/1960 07:59,15.38343354,0.0242757,51.2879,136.0668,196.78,163.61,2700,0.0,1.93e-05,0.0,6829.149,93.607,616.796,285.231,DEBRIS,US,07/01/1960,AFWTR,17/07/1960,1960,3,06/10/1960 15:58,LEO,1,192,SMALL
34,0 SPUTNIK 4,1 00034U 60005  A 62247.41570340  .02051518 +00000-0 +00000-0 0  9995,2 00034 064.9604 254.3998 0000000 066.3194 286.6963 16.39651632131532,15/08/2004 23:35,SPUTNIK 4,1960-005A,04/09/1962 09:58,16.39651632,0.0,64.9604,254.3998,66.3194,286.6963,13153,0.0,0.02051518,0.0,6544.87,87.823,166.735,166.735,PAYLOAD,CIS,11/01/1960,TTMTR,05/09/1962,1960,5,04/09/1962 19:57,LEO,1,968,MEDIUM
35,0 SL-3 R/B,1 00035U 60005  B 60198.16679572  .03271057 +00000-0 +00000-0 0  9991,2 00035 064.8899 044.6976 0000000 036.3819 323.6180 16.27523673009903,15/08/2004 23:35,SL-3 R/B,1960-005B,16/07/1960 04:00,16.27523673,0.0,64.8899,44.6976,36.3819,323.618,990,0.0,0.03271057,0.0,6577.344,88.477,199.209,199.209,ROCKET BODY,CIS,13/01/1960,PKMTR,17/07/1960,1960,5,16/07/1960 08:00,LEO,1,186,LARGE
36,0 SPUTNIK 4 CABIN,1 00036U 60005  C 65282.77315291  .00738388 +17377-2 +00000-0 0  9992,2 00036 064.9598 314.3796 0027048 289.2310 070.4777 16.31478721308431,15/08/2004 23:35,SPUTNIK 4 CABIN,1960-005C,09/10/1965 18:33,16.31478721,0.0027048,64.9598,314.3796,289.231,70.4777,30843,0.0,0.00738388,0.0017377,6566.71,88.263,206.336,170.813,PAYLOAD,CIS,15/01/1960,TTMTR,15/10/1965,1960,5,10/10/1965 13:06,LEO,1,2100,MEDIUM
37,0 SPUTNIK 4 DEB,1 00037U 60005  D 61074.65882873  .00039007 +00000-0 +00000-0 0  9995,2 00037 064.8899 343.2411 0198403 333.4201 027.0840 15.49800338046906,15/08/2004 23:35,SPUTNIK 4 DEB,1960-005D,15/03/1961 15:48,15.49800338,0.0198403,64.8899,343.2411,333.4201,27.084,4690,0.0,0.00039007,0.0,6795.45,92.915,552.139,282.492,DEBRIS,CIS,17/01/1960,TTMTR,30/06/1961,1960,5,16/03/1961 07:37,LEO,1,530,SMALL
38,0 SPUTNIK 4 DEB,1 00038U 60005  E 60232.69066809  .00610805 +00000-0 +00000-0 0  9999,2 00038 064.8899 302.1218 0034213 049.4823 310.6691 15.88909013015003,15/08/2004 23:35,SPUTNIK 4 DEB,1960-005E,19/08/1960 16:34,15.88909013,0.0034213,64.8899,302.1218,49.4823,310.6691,1500,0.0,0.00610805,0.0,6683.481,90.628,328.212,282.48,DEBRIS,CIS,19/01/1960,TTMTR,20/08/1960,1960,5,20/08/1960 09:09,LEO,1,214,SMALL
39,0 SPUTNIK 4 DEB,1 00039U 60005  F 60226.37184334  .00591427 +00000-0 +00000-0 0  9990,2 00039 064.8899 324.0258 0059941 055.6628 304.6251 15.82510302014005,15/08/2004 23:35,SPUTNIK 4 DEB,1960-005F,13/08/1960 08:55,15.82510302,0.0059941,64.8899,324.0258,55.6628,304.6251,1400,0.0,0.00591427,0.0,6701.485,90.994,363.519,283.181,DEBRIS,CIS,21/01/1960,TTMTR,24/09/1960,1960,5,13/08/1960 17:50,LEO,1,247,SMALL
40,0 SPUTNIK 4 DEB,1 00040U 60005  G 60196.98540115  .00376529 +00000-0 +00000-0 0  9992,2 00040 064.8899 065.1154 0142796 067.5265 293.2405 15.63031690009404,15/08/2004 23:35,SPUTNIK 4 DEB,1960-005G,14/07/1960 23:38,15.6303169,0.0142796,64.8899,65.1154,67.5265,293.2405,940,0.0,0.00376529,0.0,6757.046,92.128,475.399,282.423,DEBRIS,CIS,23/01/1960,TTMTR,24/09/1960,1960,5,15/07/1960 23:17,LEO,1,245,SMALL
41,0 SPUTNIK 4 DEB,1 00041U 60005  H 60213.55741600  .00877296 +00000-0 +00000-0 0  9995,2 00041 064.8899 009.0399 0041880 060.9395 299.2735 15.87027825012009,15/08/2004 23:35,SPUTNIK 4 DEB,1960-005H,31/07/1960 13:22,15.87027825,0.004188,64.8899,9.0399,60.9395,299.2735,1200,0.0,0.00877296,0.0,6688.762,90.735,338.639,282.614,DEBRIS,CIS,25/01/1960,TTMTR,30/09/1960,1960,5,01/08/1960 02:45,LEO,1,249,SMALL
42,0 SPUTNIK 4 DEB,1 00042U 60005  J 60229.62556458  .00384003 +00000-0 +00000-0 0  9995,2 00042 064.8899 312.6938 0125675 047.5739 312.9645 15.78145464014500,15/08/2004 23:35,SPUTNIK 4 DEB,1960-005J,16/08/1960 15:00,15.78145464,0.0125675,64.8899,312.6938,47.5739,312.9645,1450,0.0,0.00384003,0.0,6713.836,91.246,420.077,251.325,DEBRIS,CIS,27/01/1960,TTMTR,01/10/1960,1960,5,17/08/1960 06:01,LEO,1,248,SMALL
43,0 MIDAS 2,1 00043U 60006  A 74037.77776050  .00988543 +09018-2 +01753-4 0  9996,2 00043 033.0454 016.0357 0002584 233.4948 126.5498 16.39800644771946,15/08/2004 23:39,MIDAS 2,1960-006A,06/02/1974 18:39,16.39800644,0.0002584,33.0454,16.0357,233.4948,126.5498,77194,1.75e-06,0.00988543,0.0009018,6544.474,87.815,168.03,164.647,PAYLOAD,US,29/01/1960,AFWTR,07/02/1974,1960,6,07/02/1974 13:19,LEO,1,5123,MEDIUM
44,0 MIDAS 2 DEB,1 00044U 60006  B 60339.48320007  .05617416 +00000-0 +00000-0 0  9995,2 00044 033.0000 103.1687 0000000 237.9085 122.0914 16.16822545029905,15/08/2004 23:35,MIDAS 2 DEB,1960-006B,04/12/1960 11:35,16.16822545,0.0,33.0,103.1687,237.9085,122.0914,2990,0.0,0.05617416,0.0,6606.334,89.063,228.199,228.199,DEBRIS,US,31/01/1960,AFWTR,05/12/1960,1960,6,04/12/1960 23:11,LEO,1,309,SMALL
45,0 TRANSIT 2A,1 00045U 60007A   25193.36908133  .00000281  00000-0  95928-4 0  9993,2 00045  66.6921 178.8099 0244150  45.9702 316.1229 14.35573207331262,12/07/2025 17:51,TRANSIT 2A,1960-007A,12/07/2025 08:51,14.35573207,0.024415,66.6921,178.8099,45.9702,316.1229,33126,9.59e-05,2.81e-06,0.0,7151.299,100.308,947.763,598.565,PAYLOAD,US,22/06/1960,AFETR,,1960,7,12/07/2025 17:42,LEO,0,23762,MEDIUM
46,0 SOLRAD 1 (GREB),1 00046U 60007B   25193.36373463  .00000427  00000-0  99583-4 0  9999,2 00046  66.6886  74.0989 0198489 190.8463 168.8340 14.54026385407581,12/07/2025 17:51,SOLRAD 1 (GREB),1960-007B,12/07/2025 08:43,14.54026385,0.0198489,66.6886,74.0989,190.8463,168.834,40758,9.96e-05,4.27e-06,0.0,7090.665,99.035,853.272,571.788,PAYLOAD,US,22/06/1960,AFETR,,1960,7,12/07/2025 17:27,LEO,0,23762,MEDIUM
47,0 THOR ABLESTAR R/B,1 00047U 60007C   25193.55741267  .00000194  00000-0  66207-4 0  9990,2 00047  66.6636 239.0672 0216749  25.5095 335.6517 14.44742664401737,12/07/2025 17:51,THOR ABLESTAR R/B,1960-007C,12/07/2025 13:22,14.44742664,0.0216749,66.6636,239.0672,25.5095,335.6517,40173,6.62e-05,1.94e-06,0.0,7121.009,99.672,897.221,588.526,ROCKET BODY,US,22/06/1960,AFETR,,1960,7,13/07/2025 02:45,LEO,0,23762,LARGE
48,0 DISCOVERER 13,1 00048U 60008  A 60316.86378860  .00255821 +00000-0 +00000-0 0  9991,2 00048 082.8499 240.5639 0041854 221.9110 138.2461 16.10987363014500,15/08/2004 23:35,DISCOVERER 13,1960-008A,11/11/1960 20:43,16.10987363,0.0041854,82.8499,240.5639,221.911,138.2461,1450,0.0,0.00255821,0.0,6622.277,89.386,271.859,216.425,PAYLOAD,DEN,02/02/1960,AFWTR,14/11/1960,1960,8,12/11/1960 17:27,LEO,1,286,MEDIUM
49,0 ECHO 1,1 00049U 60009  A 68144.86617407  .41988289 +00000-0 +00000-0 0  9999,2 00049 047.1857 303.1560 0018299 276.1888 083.6866 15.53427992360298,15/08/2004 23:36,ECHO 1,1960-009A,23/05/1968 20:47,15.53427992,0.0018299,47.1857,303.156,276.1888,83.6866,36029,0.0,0.41988289,0.0,6784.867,92.698,419.148,394.316,PAYLOAD,US,04/02/1960,AFETR,24/05/1968,1960,9,24/05/1968 17:34,LEO,1,3032,MEDIUM
50,0 DELTA 1 R/B,1 00050U 60009B   25193.56033074 -.00000053  00000-0  31312-3 0  9990,2 00050  47.2294 135.9063 0112966  82.3926 278.9678 12.20156668896239,12/07/2025 17:51,DELTA 1 R/B,1960-009B,12/07/2025 13:26,12.20156668,0.0112966,47.2294,135.9063,82.3926,278.9678,89623,0.00031312,-5.3e-07,0.0,7969.996,118.018,1681.895,1501.827,ROCKET BODY,US,12/08/1960,AFETR,,1960,9,13/07/2025 02:53,LEO,0,23711,LARGE
51,0 ECHO 1 DEB (METAL OBJ),1 00051U 60009C   25193.55200612 -.00000084  00000-0  14210-5 0  9998,2 00051  47.2150  20.3044 0106612 266.6624  92.1963 12.18362560889760,12/07/2025 17:51,ECHO 1 DEB (METAL OBJ),1960-009C,12/07/2025 13:14,12.1836256,0.0106612,47.215,20.3044,266.6624,92.1963,88976,1.42e-06,-8.4e-07,0.0,7977.818,118.191,1684.736,1514.63,DEBRIS,US,12/08/1960,AFETR,,1960,9,13/07/2025 02:29,LEO,0,23711,SMALL
52,0 ECHO 1 DEB (MYLAR OBJ),1 00052U 60009D   76059.20960648 +.00000225 +00000-0 +10000-3 0  9997,2 00052 047.1450 002.7500 1406000 181.1400 000.0000 12.17682743007435,23/01/2008 11:10,ECHO 1 DEB (MYLAR OBJ),1960-009D,28/02/1976 05:01,12.17682743,0.1406,47.145,2.75,181.14,0.0,743,0.0001,2.25e-06,0.0,7980.792,118.257,2724.756,480.558,DEBRIS,US,12/08/1960,AFETR,,1960,9,28/02/1976 10:03,LEO,0,23711,SMALL
53,0 ECHO 1 DEB (METAL OBJ),1 00053U 60009E   25193.64074233 -.00000015  00000-0  68613-3 0  9996,2 00053  47.2787 309.7239 0100591 152.6476 207.9656 12.17386020894067,12/07/2025 17:51,ECHO 1 DEB (METAL OBJ),1960-009E,12/07/2025 15:22,12.1738602,0.0100591,47.2787,309.7239,152.6476,207.9656,89406,0.00068613,-1.5e-07,0.0,7982.084,118.286,1684.242,1523.657,DEBRIS,US,12/08/1960,AFETR,,1960,9,13/07/2025 06:45,LEO,0,23711,SMALL
54,0 DISCOVERER 14,1 00054U 60010  A 60260.63050842  .09000678 +00000-0 +00000-0 0  9998,2 00054 079.6499 291.9186 0000000 070.2736 289.7263 16.45439868004506,15/08/2004 23:35,DISCOVERER 14,1960-010A,16/09/1960 15:07,16.45439868,0.0,79.6499,291.9186,70.2736,289.7263,450,0.0,0.09000678,0.0,6529.512,87.514,151.377,151.377,PAYLOAD,DEN,06/02/1960,AFWTR,16/09/1960,1960,10,17/09/1960 06:15,LEO,1,223,MEDIUM
55,0 SPUTNIK 5,1 00055U 60011  A 60232.67329979  .00000000 +00000-0 +00000-0 0  9993,2 00055 064.8999 133.4774 0000029 074.8933 285.1068 15.88175450000050,15/08/2004 23:35,SPUTNIK 5,1960-011A,19/08/1960 16:09,15.8817545,2.9e-06,64.8999,133.4774,74.8933,285.1068,5,0.0,0.0,0.0,6685.539,90.67,307.424,307.385,PAYLOAD,CIS,08/02/1960,TTMTR,20/08/1960,1960,11,20/08/1960 08:19,LEO,1,194,MEDIUM
56,0 SL-3 R/B,1 00056U 60011  B 60267.06075999  .41473555 +00000-0 +00000-0 0  9999,2 00056 064.9400 008.3000 0007000 015.2810 344.7297 16.37352814005552,15/08/2004 23:35,SL-3 R/B,1960-011B,23/09/1960 01:27,16.37352814,0.0007,64.94,8.3,15.281,344.7297,555,0.0,0.41473555,0.0,6550.995,87.946,177.445,168.274,ROCKET BODY,CIS,10/02/1960,PKMTR,23/09/1960,1960,11,23/09/1960 02:54,LEO,1,226,LARGE
57,0 DISCOVERER 15,1 00057U 60012  A 60290.54695000  .04696393 +00000-0 +00000-0 0  9997,2 00057 080.9000 350.4820 0137900 045.7500 314.8230 16.18451648005105,15/08/2004 23:35,DISCOVERER 15,1960-012A,16/10/1960 13:07,16.18451648,0.01379,80.9,350.482,45.75,314.823,510,0.0,0.04696393,0.0,6601.9,88.973,314.805,132.725,PAYLOAD,DEN,12/02/1960,AFWTR,18/10/1960,1960,12,17/10/1960 02:15,LEO,1,249,MEDIUM
58,0 COURIER 1B,1 00058U 60013A   25193.60577604  .00000095  00000-0  11597-4 0  9999,2 00058  28.3294  62.8025 0164916 275.8790  82.2979 13.46412879188268,12/07/2025 17:51,COURIER 1B,1960-013A,12/07/2025 14:32,13.46412879,0.0164916,28.3294,62.8025,275.879,82.2979,18826,1.16e-05,9.5e-07,0.0,7463.623,106.951,1208.575,962.401,PAYLOAD,US,04/10/1960,AFETR,,1960,13,13/07/2025 05:04,LEO,0,23658,MEDIUM
59,0 THOR ABLESTAR R/B,1 00059U 60013B   25193.33869318  .00000094  00000-0  10013-4 0  9997,2 00059  28.2498  69.7737 0188881 342.5361  16.8758 13.53140273197108,12/07/2025 17:51,THOR ABLESTAR R/B,1960-013B,12/07/2025 08:07,13.53140273,0.0188881,28.2498,69.7737,342.5361,16.8758,19710,1e-05,9.4e-07,0.0,7438.864,106.419,1201.235,920.223,ROCKET BODY,US,04/10/1960,AFETR,,1960,13,12/07/2025 16:15,LEO,0,23658,LARGE
60,0 EXPLORER 8,1 00060U 60014A   12087.77141234  .11240700  12162-4  82585-3 0  9996,2 00060 049.8769 297.0017 0014319 253.4265 106.9983 16.39420536586174,27/03/2012 13:51,EXPLORER 8,1960-014A,27/03/2012 18:30,16.39420536,0.0014319,49.8769,297.0017,253.4265,106.9983,58617,0.00082585,0.112407,1.22e-05,6545.485,87.835,176.723,157.978,PAYLOAD,US,03/11/1960,AFETR,28/03/2012,1960,14,28/03/2012 13:01,LEO,1,18773,MEDIUM
61,0 DISCOVERER 17,1 00061U 60015  A 60364.02705382  .10955548 +00000-0 +00000-0 0  9992,2 00061 081.8599 016.2232 0045646 000.3782 359.6234 16.28773935007101,15/08/2004 23:35,DISCOVERER 17,1960-015A,29/12/1960 00:38,16.28773935,0.0045646,81.8599,16.2232,0.3782,359.6234,710,0.0,0.10955548,0.0,6573.977,88.41,225.85,165.835,PAYLOAD,DEN,18/02/1960,AFWTR,29/12/1960,1960,15,29/12/1960 01:17,LEO,1,315,MEDIUM
