order_id,order_date,product,product_category,perishable,supplier,supplier_region,quantity_kg,price_per_kg,total_value_zar,promised_days,actual_days,delay_days,expected_delivery_date,actual_delivery_date,on_time
ORD-10023,2022-08-19,Cauliflower,Veg,True,Supplier_B,Eastern Cape,316,11.47,3624.52,4,7,3,2022-08-23,2022-08-26,0
ORD-10024,2022-02-10,Lettuce,Veg,True,Supplier_N,Gauteng,331,6.97,2307.07,4,5,1,2022-02-14,2022-02-15,0
ORD-10025,2022-01-28,Avocados,Fruit,True,Supplier_C,Gauteng,184,38.35,7056.4,2,5,3,2022-01-30,2022-02-02,0
ORD-10026,2022-05-15,Bananas,Fruit,True,Supplier_M,Eastern Cape,214,16.98,3633.72,5,9,4,2022-05-20,2022-05-24,0
ORD-10027,2022-07-20,Cucumbers,Veg,True,Supplier_J,Mpumalanga,571,15.35,8764.85,5,9,4,2022-07-25,2022-07-29,0
ORD-10028,2024-04-19,Spinach,Veg,True,Supplier_G,KwaZulu-Natal,154,12.64,1946.56,3,4,1,2024-04-22,2024-04-23,0
ORD-10029,2024-02-19,Peppers,Veg,True,Supplier_J,Mpumalanga,171,21.01,3592.71,4,7,3,2024-02-23,2024-02-26,0
ORD-10030,2022-02-02,Broccoli,Veg,True,Supplier_I,KwaZulu-Natal,171,18.46,3156.66,6,6,0,2022-02-08,2022-02-08,1
ORD-10031,2022-02-17,Onions,Root,False,Supplier_I,KwaZulu-Natal,522,8.02,4186.44,4,6,2,2022-02-21,2022-02-23,0
ORD-10032,2023-05-18,Tomatoes,Veg,True,Supplier_K,KwaZulu-Natal,163,16.92,2757.96,3,3,0,2023-05-21,2023-05-21,1
ORD-10033,2023-02-11,Avocados,Fruit,True,Supplier_K,KwaZulu-Natal,395,24.72,9764.4,3,5,2,2023-02-14,2023-02-16,0
ORD-10034,2023-07-28,Papayas,Fruit,True,Supplier_M,Eastern Cape,219,35.2,7708.8,2,5,3,2023-07-30,2023-08-02,0
ORD-10035,2023-12-29,Onions,Root,False,Supplier_M,Eastern Cape,622,7.91,4920.02,4,11,7,2024-01-02,2024-01-09,0
ORD-10036,2024-03-15,Carrots,Root,False,Supplier_B,Eastern Cape,352,8.99,3164.48,3,5,2,2024-03-18,2024-03-20,0
ORD-10037,2022-04-09,Potatoes,Root,False,Supplier_G,KwaZulu-Natal,524,6.38,3343.12,4,7,3,2022-04-13,2022-04-16,0
ORD-10038,2023-11-15,Bananas,Fruit,True,Supplier_H,KwaZulu-Natal,282,11.51,3245.82,5,14,9,2023-11-20,2023-11-29,0
ORD-10039,2024-05-21,Tomatoes,Veg,True,Supplier_L,Gauteng,427,10.54,4500.58,5,12,7,2024-05-26,2024-06-02,0
ORD-10040,2023-12-27,Onions,Root,False,Supplier_I,KwaZulu-Natal,337,7.3,2460.1,4,8,4,2023-12-31,2024-01-04,0
ORD-10041,2023-07-01,Bananas,Fruit,True,Supplier_I,KwaZulu-Natal,833,8.73,7272.09,3,14,11,2023-07-04,2023-07-15,0
ORD-10042,2024-01-09,Avocados,Fruit,True,Supplier_N,Gauteng,685,32.44,22221.4,4,9,5,2024-01-13,2024-01-18,0
ORD-10043,2023-09-05,Potatoes,Root,False,Supplier_N,Gauteng,127,6.83,867.41,6,8,2,2023-09-11,2023-09-13,0
ORD-10044,2023-04-07,Pineapples,Fruit,False,Supplier_J,Mpumalanga,577,28.11,16219.47,5,9,4,2023-04-12,2023-04-16,0
ORD-10045,2023-10-05,Oranges,Fruit,False,Supplier_C,Gauteng,707,16.88,11934.16,3,5,2,2023-10-08,2023-10-10,0
ORD-10046,2024-02-08,Beetroot,Root,False,Supplier_M,Eastern Cape,397,10.51,4172.47,2,2,0,2024-02-10,2024-02-10,1
ORD-10047,2022-01-05,Bananas,Fruit,True,Supplier_I,KwaZulu-Natal,230,7.36,1692.8,4,15,11,2022-01-09,2022-01-20,0
ORD-10048,2022-08-06,Pineapples,Fruit,False,Supplier_O,Gauteng,27,34.01,918.27,2,8,6,2022-08-08,2022-08-14,0
ORD-10049,2023-05-18,Tomatoes,Veg,True,Supplier_J,Mpumalanga,58,15.87,920.46,6,9,3,2023-05-24,2023-05-27,0
ORD-10050,2024-02-06,Carrots,Root,False,Supplier_H,KwaZulu-Natal,134,11.0,1474.0,3,3,0,2024-02-09,2024-02-09,1
ORD-10051,2023-02-02,Tomatoes,Veg,True,Supplier_B,Eastern Cape,263,8.97,2359.11,6,9,3,2023-02-08,2023-02-11,0
ORD-10052,2024-05-20,Beetroot,Root,False,Supplier_O,Gauteng,102,9.35,953.7,2,2,0,2024-05-22,2024-05-22,1
ORD-10053,2024-03-05,Potatoes,Root,False,Supplier_D,Western Cape,536,7.21,3864.56,4,14,10,2024-03-09,2024-03-19,0
ORD-10054,2023-01-28,Lettuce,Veg,True,Supplier_D,Western Cape,649,6.1,3958.9,6,20,14,2023-02-03,2023-02-17,0
ORD-10055,2022-07-26,Herbs,Herb,True,Supplier_B,Eastern Cape,142,41.8,5935.6,5,8,3,2022-07-31,2022-08-03,0
ORD-10056,2022-01-15,Spinach,Veg,True,Supplier_L,Gauteng,187,15.58,2913.46,3,5,2,2022-01-18,2022-01-20,0
ORD-10057,2024-05-07,Cauliflower,Veg,True,Supplier_N,Gauteng,158,16.16,2553.28,2,3,1,2024-05-09,2024-05-10,0
ORD-10058,2023-07-08,Spinach,Veg,True,Supplier_M,Eastern Cape,29,20.26,587.54,4,8,4,2023-07-12,2023-07-16,0
ORD-10059,2024-06-10,Papayas,Fruit,True,Supplier_M,Eastern Cape,151,34.27,5174.77,2,5,3,2024-06-12,2024-06-15,0
ORD-10060,2023-04-06,Mangoes,Fruit,False,Supplier_C,Gauteng,277,22.87,6334.99,4,11,7,2023-04-10,2023-04-17,0
ORD-10061,2023-11-22,Cauliflower,Veg,True,Supplier_I,KwaZulu-Natal,351,13.88,4871.88,5,5,0,2023-11-27,2023-11-27,1
ORD-10062,2023-07-29,Bananas,Fruit,True,Supplier_E,Western Cape,507,9.3,4715.1,6,12,6,2023-08-04,2023-08-10,0
ORD-10063,2024-05-13,Pineapples,Fruit,False,Supplier_N,Gauteng,64,37.07,2372.48,4,5,1,2024-05-17,2024-05-18,0
ORD-10064,2024-01-13,Ginger,Root,False,Supplier_G,KwaZulu-Natal,396,31.66,12537.36,4,5,1,2024-01-17,2024-01-18,0
ORD-10065,2022-08-29,Oranges,Fruit,False,Supplier_O,Gauteng,20,14.36,287.2,3,7,4,2022-09-01,2022-09-05,0
ORD-10066,2023-07-18,Papayas,Fruit,True,Supplier_M,Eastern Cape,27,30.79,831.33,2,5,3,2023-07-20,2023-07-23,0
ORD-10067,2022-04-06,Oranges,Fruit,False,Supplier_L,Gauteng,470,17.39,8173.3,4,6,2,2022-04-10,2022-04-12,0
ORD-10068,2024-06-18,Potatoes,Root,False,Supplier_G,KwaZulu-Natal,993,4.67,4637.31,3,6,3,2024-06-21,2024-06-24,0
ORD-10069,2024-01-04,Beetroot,Root,False,Supplier_H,KwaZulu-Natal,250,11.69,2922.5,5,8,3,2024-01-09,2024-01-12,0
ORD-10070,2023-04-30,Pineapples,Fruit,False,Supplier_H,KwaZulu-Natal,512,28.25,14464.0,2,6,4,2023-05-02,2023-05-06,0
ORD-10071,2023-02-11,Avocados,Fruit,True,Supplier_D,Western Cape,643,26.39,16968.77,5,26,21,2023-02-16,2023-03-09,0
ORD-10072,2022-08-19,Apples,Fruit,False,Supplier_B,Eastern Cape,18,23.53,423.54,6,7,1,2022-08-25,2022-08-26,0
ORD-10073,2024-01-19,Carrots,Root,False,Supplier_A,Gauteng,52,10.64,553.28,5,5,0,2024-01-24,2024-01-24,1
ORD-10074,2023-10-17,Herbs,Herb,True,Supplier_I,KwaZulu-Natal,222,43.62,9683.64,3,4,1,2023-10-20,2023-10-21,0
ORD-10075,2022-06-20,Apples,Fruit,False,Supplier_J,Mpumalanga,443,21.82,9666.26,5,8,3,2022-06-25,2022-06-28,0
ORD-10076,2023-06-25,Apples,Fruit,False,Supplier_A,Gauteng,273,21.29,5812.17,5,17,12,2023-06-30,2023-07-12,0
ORD-10077,2022-02-05,Spinach,Veg,True,Supplier_L,Gauteng,81,17.85,1445.85,2,4,2,2022-02-07,2022-02-09,0
ORD-10078,2023-06-09,Lettuce,Veg,True,Supplier_D,Western Cape,84,10.55,886.2,6,9,3,2023-06-15,2023-06-18,0
ORD-10079,2022-06-09,Spinach,Veg,True,Supplier_O,Gauteng,132,11.3,1491.6,3,3,0,2022-06-12,2022-06-12,1
ORD-10080,2024-04-18,Lettuce,Veg,True,Supplier_N,Gauteng,296,19.59,5798.64,4,5,1,2024-04-22,2024-04-23,0
ORD-10081,2023-11-30,Carrots,Root,False,Supplier_B,Eastern Cape,31,11.01,341.31,5,7,2,2023-12-05,2023-12-07,0
ORD-10082,2022-08-31,Pineapples,Fruit,False,Supplier_D,Western Cape,352,29.61,10422.72,4,10,6,2022-09-04,2022-09-10,0
ORD-10083,2022-03-27,Onions,Root,False,Supplier_K,KwaZulu-Natal,414,7.88,3262.32,3,11,8,2022-03-30,2022-04-07,0
ORD-10084,2024-03-06,Cauliflower,Veg,True,Supplier_D,Western Cape,238,14.96,3560.48,6,15,9,2024-03-12,2024-03-21,0
ORD-10085,2023-08-01,Papayas,Fruit,True,Supplier_C,Gauteng,557,30.98,17255.86,6,9,3,2023-08-07,2023-08-10,0
ORD-10086,2023-11-13,Herbs,Herb,True,Supplier_J,Mpumalanga,557,39.32,21901.24,3,6,3,2023-11-16,2023-11-19,0
ORD-10087,2023-07-11,Cauliflower,Veg,True,Supplier_D,Western Cape,542,10.02,5430.84,4,16,12,2023-07-15,2023-07-27,0
ORD-10088,2023-07-28,Cauliflower,Veg,True,Supplier_M,Eastern Cape,744,12.06,8972.64,3,7,4,2023-07-31,2023-08-04,0
ORD-10089,2023-10-08,Cucumbers,Veg,True,Supplier_D,Western Cape,127,10.63,1350.01,2,8,6,2023-10-10,2023-10-16,0
ORD-10090,2024-03-06,Avocados,Fruit,True,Supplier_B,Eastern Cape,427,27.65,11806.55,6,14,8,2024-03-12,2024-03-20,0
ORD-10091,2022-01-28,Cucumbers,Veg,True,Supplier_F,Mpumalanga,464,13.37,6203.68,4,8,4,2022-02-01,2022-02-05,0
ORD-10092,2023-09-12,Cucumbers,Veg,True,Supplier_G,KwaZulu-Natal,104,13.42,1395.68,5,21,16,2023-09-17,2023-10-03,0
ORD-10093,2023-07-10,Broccoli,Veg,True,Supplier_N,Gauteng,325,17.5,5687.5,2,3,1,2023-07-12,2023-07-13,0
ORD-10094,2022-12-06,Lettuce,Veg,True,Supplier_K,KwaZulu-Natal,116,8.5,986.0,6,27,21,2022-12-12,2023-01-02,0
ORD-10095,2024-03-08,Avocados,Fruit,True,Supplier_A,Gauteng,468,26.36,12336.48,6,9,3,2024-03-14,2024-03-17,0
ORD-10096,2022-11-27,Peppers,Veg,True,Supplier_L,Gauteng,1384,19.52,27015.68,6,13,7,2022-12-03,2022-12-10,0
ORD-10097,2023-10-02,Carrots,Root,False,Supplier_M,Eastern Cape,56,10.95,613.2,2,18,16,2023-10-04,2023-10-20,0
ORD-10098,2023-05-21,Avocados,Fruit,True,Supplier_D,Western Cape,506,35.49,17957.94,3,11,8,2023-05-24,2023-06-01,0
ORD-10099,2022-12-14,Oranges,Fruit,False,Supplier_D,Western Cape,178,22.53,4010.34,6,7,1,2022-12-20,2022-12-21,0
ORD-10100,2023-04-18,Papayas,Fruit,True,Supplier_H,KwaZulu-Natal,346,63.64,22019.44,2,3,1,2023-04-20,2023-04-21,0
ORD-10101,2022-08-19,Mangoes,Fruit,False,Supplier_G,KwaZulu-Natal,239,25.43,6077.77,3,3,0,2022-08-22,2022-08-22,1
ORD-10102,2022-07-09,Bananas,Fruit,True,Supplier_E,Western Cape,205,12.7,2603.5,2,6,4,2022-07-11,2022-07-15,0
ORD-10103,2022-08-13,Broccoli,Veg,True,Supplier_D,Western Cape,990,16.3,16137.0,6,14,8,2022-08-19,2022-08-27,0
ORD-10104,2023-01-20,Spinach,Veg,True,Supplier_H,KwaZulu-Natal,809,13.77,11139.93,5,9,4,2023-01-25,2023-01-29,0
ORD-10105,2023-01-12,Papayas,Fruit,True,Supplier_B,Eastern Cape,117,35.06,4102.02,5,16,11,2023-01-17,2023-01-28,0
ORD-10106,2022-10-10,Lettuce,Veg,True,Supplier_K,KwaZulu-Natal,630,9.79,6167.7,2,4,2,2022-10-12,2022-10-14,0
ORD-10107,2023-09-25,Papayas,Fruit,True,Supplier_N,Gauteng,53,44.81,2374.93,5,18,13,2023-09-30,2023-10-13,0
ORD-10108,2023-09-20,Tomatoes,Veg,True,Supplier_B,Eastern Cape,252,14.63,3686.76,6,10,4,2023-09-26,2023-09-30,0
ORD-10109,2024-01-15,Apples,Fruit,False,Supplier_C,Gauteng,127,22.94,2913.38,6,7,1,2024-01-21,2024-01-22,0
ORD-10110,2022-09-16,Cucumbers,Veg,True,Supplier_H,KwaZulu-Natal,903,13.85,12506.55,5,9,4,2022-09-21,2022-09-25,0
ORD-10111,2022-12-25,Cauliflower,Veg,True,Supplier_D,Western Cape,319,14.48,4619.12,4,16,12,2022-12-29,2023-01-10,0
ORD-10112,2023-12-11,Peppers,Veg,True,Supplier_O,Gauteng,251,18.48,4638.48,3,24,21,2023-12-14,2024-01-04,0
ORD-10113,2023-04-01,Lettuce,Veg,True,Supplier_C,Gauteng,249,11.81,2940.69,5,8,3,2023-04-06,2023-04-09,0
ORD-10114,2023-02-15,Peppers,Veg,True,Supplier_A,Gauteng,246,34.45,8474.7,2,3,1,2023-02-17,2023-02-18,0
ORD-10115,2023-10-11,Peppers,Veg,True,Supplier_E,Western Cape,166,15.7,2606.2,5,8,3,2023-10-16,2023-10-19,0
ORD-10116,2022-11-14,Broccoli,Veg,True,Supplier_E,Western Cape,179,17.3,3096.7,4,5,1,2022-11-18,2022-11-19,0
ORD-10117,2023-11-08,Cucumbers,Veg,True,Supplier_L,Gauteng,641,9.33,5980.53,3,5,2,2023-11-11,2023-11-13,0
ORD-10118,2022-08-13,Papayas,Fruit,True,Supplier_K,KwaZulu-Natal,286,32.21,9212.06,3,5,2,2022-08-16,2022-08-18,0
ORD-10119,2024-03-29,Cauliflower,Veg,True,Supplier_C,Gauteng,142,20.67,2935.14,5,6,1,2024-04-03,2024-04-04,0
ORD-10120,2022-08-22,Oranges,Fruit,False,Supplier_E,Western Cape,293,14.71,4310.03,3,5,2,2022-08-25,2022-08-27,0
ORD-10121,2023-11-15,Oranges,Fruit,False,Supplier_A,Gauteng,217,18.67,4051.39,2,3,1,2023-11-17,2023-11-18,0
ORD-10122,2023-10-26,Herbs,Herb,True,Supplier_L,Gauteng,191,43.34,8277.94,4,16,12,2023-10-30,2023-11-11,0
ORD-10123,2024-04-06,Papayas,Fruit,True,Supplier_A,Gauteng,179,30.56,5470.24,4,7,3,2024-04-10,2024-04-13,0
ORD-10124,2023-01-09,Carrots,Root,False,Supplier_A,Gauteng,303,8.21,2487.63,3,8,5,2023-01-12,2023-01-17,0
ORD-10125,2023-11-03,Lettuce,Veg,True,Supplier_J,Mpumalanga,782,8.01,6263.82,6,10,4,2023-11-09,2023-11-13,0
ORD-10126,2023-08-31,Cauliflower,Veg,True,Supplier_I,KwaZulu-Natal,81,10.46,847.26,5,4,-1,2023-09-05,2023-09-04,1
ORD-10127,2023-04-17,Pineapples,Fruit,False,Supplier_C,Gauteng,167,30.08,5023.36,2,4,2,2023-04-19,2023-04-21,0
ORD-10128,2022-08-21,Lettuce,Veg,True,Supplier_I,KwaZulu-Natal,142,11.76,1669.92,2,4,2,2022-08-23,2022-08-25,0
ORD-10129,2023-11-23,Spinach,Veg,True,Supplier_N,Gauteng,353,15.79,5573.87,2,3,1,2023-11-25,2023-11-26,0
ORD-10130,2022-04-23,Bananas,Fruit,True,Supplier_B,Eastern Cape,545,7.18,3913.1,3,8,5,2022-04-26,2022-05-01,0
ORD-10131,2024-04-09,Ginger,Root,False,Supplier_B,Eastern Cape,576,49.17,28321.92,4,7,3,2024-04-13,2024-04-16,0
ORD-10132,2023-05-12,Apples,Fruit,False,Supplier_G,KwaZulu-Natal,581,14.04,8157.24,5,6,1,2023-05-17,2023-05-18,0
ORD-10133,2023-03-18,Avocados,Fruit,True,Supplier_O,Gauteng,255,25.83,6586.65,5,22,17,2023-03-23,2023-04-09,0
ORD-10134,2023-07-18,Herbs,Herb,True,Supplier_D,Western Cape,165,44.5,7342.5,2,5,3,2023-07-20,2023-07-23,0
ORD-10135,2022-09-25,Herbs,Herb,True,Supplier_J,Mpumalanga,145,49.35,7155.75,5,8,3,2022-09-30,2022-10-03,0
ORD-10136,2023-05-25,Lettuce,Veg,True,Supplier_J,Mpumalanga,232,12.8,2969.6,2,2,0,2023-05-27,2023-05-27,1
ORD-10137,2024-03-17,Spinach,Veg,True,Supplier_G,KwaZulu-Natal,761,14.81,11270.41,3,7,4,2024-03-20,2024-03-24,0
ORD-10138,2023-01-21,Herbs,Herb,True,Supplier_J,Mpumalanga,316,36.78,11622.48,6,13,7,2023-01-27,2023-02-03,0
ORD-10139,2023-01-22,Pineapples,Fruit,False,Supplier_F,Mpumalanga,286,21.69,6203.34,5,17,12,2023-01-27,2023-02-08,0
ORD-10140,2022-04-23,Onions,Root,False,Supplier_D,Western Cape,130,8.24,1071.2,4,9,5,2022-04-27,2022-05-02,0
ORD-10141,2023-09-05,Carrots,Root,False,Supplier_D,Western Cape,418,9.02,3770.36,5,14,9,2023-09-10,2023-09-19,0
ORD-10142,2023-09-17,Onions,Root,False,Supplier_G,KwaZulu-Natal,160,9.94,1590.4,2,7,5,2023-09-19,2023-09-24,0
ORD-10143,2022-03-22,Mangoes,Fruit,False,Supplier_K,KwaZulu-Natal,165,28.02,4623.3,5,5,0,2022-03-27,2022-03-27,1
ORD-10144,2023-11-30,Potatoes,Root,False,Supplier_H,KwaZulu-Natal,330,6.96,2296.8,4,5,1,2023-12-04,2023-12-05,0
ORD-10145,2022-04-23,Carrots,Root,False,Supplier_O,Gauteng,46,9.24,425.04,5,16,11,2022-04-28,2022-05-09,0
ORD-10146,2022-01-02,Spinach,Veg,True,Supplier_A,Gauteng,139,17.41,2419.99,5,24,19,2022-01-07,2022-01-26,0
ORD-10147,2023-10-04,Broccoli,Veg,True,Supplier_J,Mpumalanga,379,17.45,6613.55,2,23,21,2023-10-06,2023-10-27,0
ORD-10148,2022-08-08,Herbs,Herb,True,Supplier_B,Eastern Cape,193,37.29,7196.97,5,11,6,2022-08-13,2022-08-19,0
ORD-10149,2023-07-20,Spinach,Veg,True,Supplier_I,KwaZulu-Natal,165,18.05,2978.25,5,5,0,2023-07-25,2023-07-25,1
ORD-10150,2024-05-04,Oranges,Fruit,False,Supplier_I,KwaZulu-Natal,749,20.29,15197.21,4,4,0,2024-05-08,2024-05-08,1
ORD-10151,2024-01-06,Onions,Root,False,Supplier_C,Gauteng,325,9.88,3211.0,2,8,6,2024-01-08,2024-01-14,0
ORD-10152,2022-08-13,Beetroot,Root,False,Supplier_O,Gauteng,95,12.2,1159.0,3,4,1,2022-08-16,2022-08-17,0
ORD-10153,2023-01-20,Spinach,Veg,True,Supplier_O,Gauteng,631,14.29,9016.99,6,8,2,2023-01-26,2023-01-28,0
ORD-10154,2023-02-07,Apples,Fruit,False,Supplier_F,Mpumalanga,387,21.81,8440.47,3,24,21,2023-02-10,2023-03-03,0
ORD-10155,2023-09-30,Potatoes,Root,False,Supplier_C,Gauteng,629,7.44,4679.76,2,6,4,2023-10-02,2023-10-06,0
ORD-10156,2022-05-10,Broccoli,Veg,True,Supplier_N,Gauteng,329,11.39,3747.31,2,3,1,2022-05-12,2022-05-13,0
ORD-10157,2022-02-22,Papayas,Fruit,True,Supplier_L,Gauteng,429,33.77,14487.33,6,8,2,2022-02-28,2022-03-02,0
ORD-10158,2023-11-15,Potatoes,Root,False,Supplier_J,Mpumalanga,90,8.36,752.4,6,7,1,2023-11-21,2023-11-22,0
ORD-10159,2023-12-31,Pineapples,Fruit,False,Supplier_A,Gauteng,415,20.96,8698.4,5,17,12,2024-01-05,2024-01-17,0
ORD-10160,2023-11-03,Papayas,Fruit,True,Supplier_E,Western Cape,241,24.81,5979.21,5,8,3,2023-11-08,2023-11-11,0
ORD-10161,2023-12-11,Avocados,Fruit,True,Supplier_O,Gauteng,218,38.69,8434.42,4,5,1,2023-12-15,2023-12-16,0
ORD-10162,2023-02-20,Mangoes,Fruit,False,Supplier_E,Western Cape,159,25.34,4029.06,5,7,2,2023-02-25,2023-02-27,0
ORD-10163,2022-09-04,Avocados,Fruit,True,Supplier_O,Gauteng,99,41.46,4104.54,5,19,14,2022-09-09,2022-09-23,0
ORD-10164,2024-04-15,Avocados,Fruit,True,Supplier_L,Gauteng,240,24.53,5887.2,6,7,1,2024-04-21,2024-04-22,0
ORD-10165,2023-03-15,Papayas,Fruit,True,Supplier_C,Gauteng,344,36.55,12573.2,2,1,-1,2023-03-17,2023-03-16,1
ORD-10166,2022-07-22,Onions,Root,False,Supplier_E,Western Cape,119,9.33,1110.27,4,7,3,2022-07-26,2022-07-29,0
ORD-10167,2022-07-03,Ginger,Root,False,Supplier_D,Western Cape,770,43.08,33171.6,5,9,4,2022-07-08,2022-07-12,0
ORD-10168,2022-05-03,Carrots,Root,False,Supplier_D,Western Cape,128,10.84,1387.52,6,8,2,2022-05-09,2022-05-11,0
ORD-10169,2023-02-05,Onions,Root,False,Supplier_I,KwaZulu-Natal,81,8.95,724.95,5,13,8,2023-02-10,2023-02-18,0
ORD-10170,2024-02-06,Cauliflower,Veg,True,Supplier_E,Western Cape,212,16.88,3578.56,3,6,3,2024-02-09,2024-02-12,0
ORD-10171,2022-10-21,Lettuce,Veg,True,Supplier_B,Eastern Cape,247,11.44,2825.68,2,5,3,2022-10-23,2022-10-26,0
ORD-10172,2022-10-07,Cucumbers,Veg,True,Supplier_N,Gauteng,238,9.59,2282.42,3,4,1,2022-10-10,2022-10-11,0
ORD-10173,2024-04-16,Onions,Root,False,Supplier_A,Gauteng,112,9.25,1036.0,2,8,6,2024-04-18,2024-04-24,0
ORD-10174,2024-06-02,Tomatoes,Veg,True,Supplier_F,Mpumalanga,104,14.88,1547.52,4,8,4,2024-06-06,2024-06-10,0
ORD-10175,2023-09-02,Mangoes,Fruit,False,Supplier_K,KwaZulu-Natal,576,22.15,12758.4,2,4,2,2023-09-04,2023-09-06,0
ORD-10176,2022-07-17,Onions,Root,False,Supplier_C,Gauteng,151,8.01,1209.51,4,7,3,2022-07-21,2022-07-24,0
ORD-10177,2024-06-25,Broccoli,Veg,True,Supplier_I,KwaZulu-Natal,458,12.53,5738.74,2,4,2,2024-06-27,2024-06-29,0
ORD-10178,2023-05-26,Cucumbers,Veg,True,Supplier_I,KwaZulu-Natal,506,13.58,6871.48,4,6,2,2023-05-30,2023-06-01,0
ORD-10179,2024-01-22,Tomatoes,Veg,True,Supplier_B,Eastern Cape,69,10.01,690.69,5,8,3,2024-01-27,2024-01-30,0
ORD-10180,2022-05-24,Spinach,Veg,True,Supplier_O,Gauteng,520,9.8,5096.0,4,6,2,2022-05-28,2022-05-30,0
ORD-10181,2023-09-01,Mangoes,Fruit,False,Supplier_I,KwaZulu-Natal,210,24.35,5113.5,2,5,3,2023-09-03,2023-09-06,0
ORD-10182,2022-07-20,Lettuce,Veg,True,Supplier_N,Gauteng,358,10.0,3580.0,6,7,1,2022-07-26,2022-07-27,0
ORD-10183,2022-05-04,Beetroot,Root,False,Supplier_J,Mpumalanga,482,8.39,4043.98,2,4,2,2022-05-06,2022-05-08,0
ORD-10184,2022-07-06,Papayas,Fruit,True,Supplier_C,Gauteng,399,34.12,13613.88,3,4,1,2022-07-09,2022-07-10,0
ORD-10185,2022-11-22,Cucumbers,Veg,True,Supplier_C,Gauteng,294,10.57,3107.58,6,7,1,2022-11-28,2022-11-29,0
ORD-10186,2023-04-09,Lettuce,Veg,True,Supplier_E,Western Cape,249,12.99,3234.51,4,8,4,2023-04-13,2023-04-17,0
ORD-10187,2022-12-15,Beetroot,Root,False,Supplier_O,Gauteng,97,11.35,1100.95,2,10,8,2022-12-17,2022-12-25,0
